Order ID,Order Date,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Status
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006,3,0.2,132.59219999999993,Completed
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80999999999999,5,0.8,-123.858,Completed
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.5439999999999996,3,0.8,-3.8160000000000016,Completed
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.317599999999999,Open
CA-2014-167164,2014-05-13,2014-05-15,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.989999999999995,Pending
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4823999999999993,Open
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48000000000002,3,0.2,16.01099999999998,Completed
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.383999999999999,Pending
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.459999999999997,7,0.0,5.0596,Pending
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.339999999999996,7,0.0,15.688400000000001,Pending
US-2017-156909,2017-07-16,2017-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37199999999999,2,0.3,-1.0196000000000005,Pending
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.6299999999999,3,0.0,240.2649,Pending
CA-2016-121755,2016-01-16,2016-01-20,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648000000000001,2,0.2,4.2224,Pending
CA-2016-121755,2016-01-16,2016-01-20,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57000000000001,3,0.0,11.774100000000004,Pending
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.4300000000003,7,0.5,-1665.0522,Open
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618000000000002,2,0.7,-7.0532,Open
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20000000000002,3,0.2,15.524999999999991,Completed
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.2640000000000002,2,0.2,1.1015999999999997,Completed
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.709199999999989,Completed
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858000000000001,6,0.7,-5.715,Completed
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.5460000000000007,Completed
CA-2017-107727,2017-10-19,2017-10-23,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.946799999999998,Completed
CA-2016-117590,2016-12-08,2016-12-10,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.5440000000003,7,0.2,123.4736999999999,Completed
CA-2016-117590,2016-12-08,2016-12-10,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96300000000002,Completed
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,Completed
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.97640000000001,Completed
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.146999999999991,Completed
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.75639999999996,Completed
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.556399999999996,Completed
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.8939999999999912,Completed
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.56160000000001,Completed
CA-2016-118255,2016-03-11,2016-03-13,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,Completed
CA-2016-118255,2016-03-11,2016-03-13,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.206199999999999,Completed
CA-2014-146703,2014-10-20,2014-10-25,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.478399999999993,Completed
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.950000000000001,Completed
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104000000000001,Completed
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,Completed
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.17999999999999,6,0.0,35.334599999999995,Completed
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,Completed
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.098099999999988,Completed
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.260000000000002,7,0.0,6.256600000000001,Completed
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,Corporate,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.139999999999986,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.400000000000006,5,0.0,15.552000000000001,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098000000000006,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3000000000000007,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.480000000000004,4,0.2,16.362,Completed
CA-2016-111682,2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,Completed
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.151200000000001,Open
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,Completed
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,Completed
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.332800000000006,Completed
US-2015-164175,2015-04-30,2015-05-05,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.11499999999998,5,0.3,-15.22250000000001,Completed
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.0240000000001,8,0.2,111.30239999999998,Open
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.96800000000002,4,0.2,62.988,Pending
CA-2016-119823,2016-06-04,2016-06-06,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.663599999999995,Open
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.7309999999999999,Completed
CA-2017-114440,2017-09-14,2017-09-17,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.049999999999997,3,0.0,8.763,Pending
US-2015-134026,2015-04-26,2015-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.9360000000001,8,0.2,-114.39120000000003,Pending
US-2015-134026,2015-04-26,2015-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.2129999999999974,Pending
US-2015-134026,2015-04-26,2015-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,Pending
US-2017-118038,2017-12-09,2017-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.2479999999999998,3,0.8,-1.9344000000000006,Pending
US-2017-118038,2017-12-09,2017-12-11,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248000000000015,Pending
US-2017-118038,2017-12-09,2017-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.240000000000002,3,0.2,2.724000000000002,Pending
US-2014-147606,2014-11-26,2014-12-01,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475000000000001,Open
CA-2016-127208,2016-06-12,2016-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.20320000000001,Open
CA-2016-127208,2016-06-12,2016-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.740000000000002,3,0.0,8.0352,Completed
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172000000000001,Completed
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.203099999999999,Completed
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98400000000004,7,0.2,62.807499999999976,Completed
US-2017-119662,2017-11-13,2017-11-16,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,Open
CA-2017-140088,2017-05-28,2017-05-30,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.215599999999995,Pending
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.796599999999998,Open
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,Completed
CA-2016-159695,2016-04-05,2016-04-10,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.36800000000002,7,0.2,13.857199999999999,Pending
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.632999999999998,Pending
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.278199999999998,Pending
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104000000000003,Pending
CA-2015-149587,2015-01-31,2015-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208000000000006,Pending
CA-2015-149587,2015-01-31,2015-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.535399999999996,Pending
CA-2015-149587,2015-01-31,2015-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,Pending
US-2017-109484,2017-11-06,2017-11-12,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682000000000001,1,0.7,-3.7880000000000003,Open
CA-2017-161018,2017-11-09,2017-11-11,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,Open
CA-2017-157833,2017-06-17,2017-06-20,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,Completed
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.585199999999993,Completed
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.618399999999994,Completed
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.97600000000001,3,0.2,-10.79730000000001,Completed
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.7879999999999996,3,0.8,-3.0396,Open
CA-2016-129903,2016-12-01,2016-12-04,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,Pending
US-2015-156867,2015-11-13,2015-11-17,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.89600000000002,6,0.2,-26.875800000000012,Open
US-2015-156867,2015-11-13,2015-11-17,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.35999999999999,3,0.2,-3.8385000000000105,Completed
US-2015-156867,2015-11-13,2015-11-17,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882000000000005,3,0.7,-25.8174,Pending
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11200000000001,8,0.2,17.6016,Pending
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992000000000004,1,0.2,2.0993999999999993,Pending
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.3040000000000003,1,0.2,1.0737999999999999,Pending
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96000000000004,5,0.2,67.99199999999996,Pending
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.909600000000001,Pending
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.78799999999999,Pending
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.240000000000002,6,0.0,13.3476,Open
CA-2014-115259,2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096000000000004,14,0.2,14.534799999999997,Open
CA-2014-115259,2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.720000000000001,2,0.2,1.6519999999999997,Completed
CA-2014-115259,2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976000000000003,3,0.2,7.492499999999999,Completed
CA-2014-115259,2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,Completed
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.38129999999995,Completed
US-2015-136476,2015-04-05,2015-04-10,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79400000000004,1,0.7,-115.7156,Completed
CA-2016-103730,2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.345599999999997,Completed
CA-2016-103730,2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,Completed
CA-2016-103730,2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.436800000000005,Completed
CA-2016-103730,2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.75899999999999,Completed
CA-2016-103730,2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.731599999999997,Completed
US-2014-152030,2014-12-26,2014-12-28,Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.579400000000078,Completed
US-2014-134614,2014-09-20,2014-09-25,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.68200000000013,Completed
US-2017-107272,2017-11-05,2017-11-12,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.3880000000000003,2,0.7,-1.8308,Completed
US-2017-107272,2017-11-05,2017-11-12,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99200000000002,7,0.2,30.49899999999998,Completed
US-2016-125969,2016-11-06,2016-11-10,Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.160199999999996,Completed
US-2016-125969,2016-11-06,2016-11-10,Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.241599999999977,Completed
US-2017-164147,2017-02-02,2017-02-05,First Class,Corporate,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.96999999999999,5,0.4,-11.993999999999993,Completed
US-2017-164147,2017-02-02,2017-02-05,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.363999999999997,Completed
US-2017-164147,2017-02-02,2017-02-05,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.973199999999998,Completed
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,Completed
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44,1,0.0,16.656799999999997,Completed
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.4559999999999995,Open
